,index,table_id,annotator_id,premise,hypothesis,label,premise_cleaned,Rel_with_toks
10,10,T46,GW1," Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  Janet Leigh was Died on October 3, 2004 (2004-10-03)  (aged 77)  Los Angeles, California, U.S..  The Resting place of Janet Leigh are Westwood Village Memorial Park Cemetery.  The Children of Janet Leigh are Kelly Curtis, and Jamie Lee Curtis.  ",Janet Leigh lived in California for her whole life.,1,"janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   janet leigh was died on october 3 ,  2004  ( 2004 - 10 - 03 )    ( aged 77 )   los angeles ,  california ,  u . s .  .   the resting place of janet leigh are westwood village memorial park cemetery .   the children of janet leigh are kelly curtis ,  and jamie lee curtis . ","[(('born', 3), ('life', 8), 0, ['RelatedTo']), (('morrison', 7), ('california', 4), 0, ['RelatedTo']), (('merced', 19), ('california', 4), 0, ['RelatedTo']), (('memorial', 67), ('whole', 7), 0, ['Hypernym']), (('whole', 7), ('memorial', 67), 1, ['Hyponym']), (('park', 68), ('whole', 7), 0, ['Hypernym']), (('whole', 7), ('park', 68), 1, ['Hyponym']), (('leigh', 1), ('lee', 82), 1, ['RelatedTo'])]"
11,11,T46,GW1," Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  Janet Leigh was Died on October 3, 2004 (2004-10-03)  (aged 77)  Los Angeles, California, U.S..  The Years active of Janet Leigh are 1947 - 2004.  The Spouse(s) of Janet Leigh are John Carlisle ( m.  1942; annulled 1942), Stanley Reames ( m.  1945;  div.  1949), Tony Curtis ( m.  1951;  div.  1962), and Robert Brandt ( m.  1962). ",Janet Leigh died in the Fall of 2004.,2,"janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   janet leigh was died on october 3 ,  2004  ( 2004 - 10 - 03 )    ( aged 77 )   los angeles ,  california ,  u . s .  .   the years active of janet leigh are 1947  -  2004 .   the spouse ( s )  of janet leigh are john carlisle  (  m .   1942 ;  annulled 1942 )  ,  stanley reames  (  m .   1945 ;   div .   1949 )  ,  tony curtis  (  m .   1951 ;   div .   1962 )  ,  and robert brandt  (  m .   1962 )  . ","[(('born', 3), ('died', 2), 0, ['Antonym', 'RelatedTo', 'DistinctFrom']), (('fall', 5), ('october', 33), 1, ['RelatedTo'])]"
12,12,T46,GW2," Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  Janet Leigh was Died on October 3, 2004 (2004-10-03)  (aged 77)  Los Angeles, California, U.S..  The Years active of Janet Leigh are 1947 - 2004.  The Spouse(s) of Janet Leigh are John Carlisle ( m.  1942; annulled 1942), Stanley Reames ( m.  1945;  div.  1949), Tony Curtis ( m.  1951;  div.  1962), and Robert Brandt ( m.  1962). ",Janet Leigh was married more than four times.,0,"janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   janet leigh was died on october 3 ,  2004  ( 2004 - 10 - 03 )    ( aged 77 )   los angeles ,  california ,  u . s .  .   the years active of janet leigh are 1947  -  2004 .   the spouse ( s )  of janet leigh are john carlisle  (  m .   1942 ;  annulled 1942 )  ,  stanley reames  (  m .   1945 ;   div .   1949 )  ,  tony curtis  (  m .   1951 ;   div .   1962 )  ,  and robert brandt  (  m .   1962 )  . ","[(('6', 16), ('four', 6), 0, ['Co-Hyponym']), (('four', 6), ('6', 16), 1, ['Co-Hyponym']), (('3', 34), ('four', 6), 0, ['Co-Hyponym']), (('four', 6), ('3', 34), 1, ['Co-Hyponym']), (('years', 59), ('times', 7), 0, ['Co-Hyponym']), (('times', 7), ('years', 59), 1, ['Co-Hyponym']), (('active', 60), ('married', 3), 0, ['Co-Hyponym']), (('married', 3), ('active', 60), 1, ['Co-Hyponym']), (('married', 3), ('spouse', 70), 1, ['RelatedTo'])]"
13,13,T46,GW2," The Children of Janet Leigh are Kelly Curtis, and Jamie Lee Curtis.   Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  Janet Leigh was Died on October 3, 2004 (2004-10-03)  (aged 77)  Los Angeles, California, U.S..  The Spouse(s) of Janet Leigh are John Carlisle ( m.  1942; annulled 1942), Stanley Reames ( m.  1945;  div.  1949), Tony Curtis ( m.  1951;  div.  1962), and Robert Brandt ( m.  1962). ",Janet Leigh was an only child.,1,"the children of janet leigh are kelly curtis ,  and jamie lee curtis .    janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   janet leigh was died on october 3 ,  2004  ( 2004 - 10 - 03 )    ( aged 77 )   los angeles ,  california ,  u . s .  .   the spouse ( s )  of janet leigh are john carlisle  (  m .   1942 ;  annulled 1942 )  ,  stanley reames  (  m .   1945 ;   div .   1949 )  ,  tony curtis  (  m .   1951 ;   div .   1962 )  ,  and robert brandt  (  m .   1962 )  . ","[(('children', 1), ('child', 5), 0, ['FormOf', 'RelatedTo']), (('leigh', 1), ('lee', 11), 1, ['RelatedTo']), (('born', 17), ('child', 5), 0, ['RelatedTo'])]"
14,14,T46,GW2," Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  The Alma mater of Janet Leigh are University of the Pacific.  The Years active of Janet Leigh are 1947 - 2004.  The Political party of Janet Leigh are Democratic. ",Janet Leigh was politically liberal.,2,"janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   the alma mater of janet leigh are university of the pacific .   the years active of janet leigh are 1947  -  2004 .   the political party of janet leigh are democratic . ","[(('politically', 3), ('political', 52), 1, ['DerivedFrom', 'RelatedTo'])]"
15,15,T46,GW4," Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  Janet Leigh was Died on October 3, 2004 (2004-10-03)  (aged 77)  Los Angeles, California, U.S..  The Alma mater of Janet Leigh are University of the Pacific.  The Children of Janet Leigh are Kelly Curtis, and Jamie Lee Curtis.  ",Janet Leigh was born on the east coast of the USA.,0,"janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   janet leigh was died on october 3 ,  2004  ( 2004 - 10 - 03 )    ( aged 77 )   los angeles ,  california ,  u . s .  .   the alma mater of janet leigh are university of the pacific .   the children of janet leigh are kelly curtis ,  and jamie lee curtis . ","[(('morrison', 7), ('usa', 10), 0, ['RelatedTo']), (('merced', 19), ('usa', 10), 0, ['RelatedTo']), (('coast', 7), ('california', 21), 1, ['AtLocation', 'RelatedTo']), (('born', 3), ('died', 31), 1, ['Antonym', 'RelatedTo', 'DistinctFrom']), (('coast', 7), ('california', 51), 1, ['AtLocation', 'RelatedTo']), (('alma', 59), ('usa', 10), 0, ['RelatedTo']), (('coast', 7), ('pacific', 68), 1, ['RelatedTo']), (('leigh', 1), ('lee', 81), 1, ['RelatedTo']), (('lee', 81), ('usa', 10), 0, ['RelatedTo'])]"
16,16,T46,GW4," Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  Janet Leigh was Died on October 3, 2004 (2004-10-03)  (aged 77)  Los Angeles, California, U.S..  The Resting place of Janet Leigh are Westwood Village Memorial Park Cemetery.  The Children of Janet Leigh are Kelly Curtis, and Jamie Lee Curtis.  ",Janet Leigh lived their whole life in California.,1,"janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   janet leigh was died on october 3 ,  2004  ( 2004 - 10 - 03 )    ( aged 77 )   los angeles ,  california ,  u . s .  .   the resting place of janet leigh are westwood village memorial park cemetery .   the children of janet leigh are kelly curtis ,  and jamie lee curtis . ","[(('born', 3), ('life', 5), 0, ['RelatedTo']), (('morrison', 7), ('california', 7), 0, ['RelatedTo']), (('merced', 19), ('california', 7), 0, ['RelatedTo']), (('memorial', 67), ('whole', 4), 0, ['Hypernym']), (('whole', 4), ('memorial', 67), 1, ['Hyponym']), (('park', 68), ('whole', 4), 0, ['Hypernym']), (('whole', 4), ('park', 68), 1, ['Hyponym']), (('leigh', 1), ('lee', 82), 1, ['RelatedTo'])]"
17,17,T46,GW4," Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  Janet Leigh was Died on October 3, 2004 (2004-10-03)  (aged 77)  Los Angeles, California, U.S..  The Years active of Janet Leigh are 1947 - 2004.  The Spouse(s) of Janet Leigh are John Carlisle ( m.  1942; annulled 1942), Stanley Reames ( m.  1945;  div.  1949), Tony Curtis ( m.  1951;  div.  1962), and Robert Brandt ( m.  1962). ",Janet Leigh only got married multiple times.,2,"janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   janet leigh was died on october 3 ,  2004  ( 2004 - 10 - 03 )    ( aged 77 )   los angeles ,  california ,  u . s .  .   the years active of janet leigh are 1947  -  2004 .   the spouse ( s )  of janet leigh are john carlisle  (  m .   1942 ;  annulled 1942 )  ,  stanley reames  (  m .   1945 ;   div .   1949 )  ,  tony curtis  (  m .   1951 ;   div .   1962 )  ,  and robert brandt  (  m .   1962 )  . ","[(('years', 59), ('times', 6), 0, ['Co-Hyponym']), (('times', 6), ('years', 59), 1, ['Co-Hyponym']), (('active', 60), ('married', 4), 0, ['Co-Hyponym']), (('married', 4), ('active', 60), 1, ['Co-Hyponym']), (('married', 4), ('spouse', 70), 1, ['RelatedTo'])]"
18,18,T47,GW2," Jodie Whittaker was Born on Jodie Auckland Whittaker    ( 1982-06-17 )  17 June 1982  (age 36)   Skelmanthorpe, West Yorkshire, England.  The Residence of Jodie Whittaker are London, England.  The Spouse(s) of Jodie Whittaker are Christian Contreras  ( m.  2008).  The Children of Jodie Whittaker are 1.  ",Jodie Whittaker lives in Africa.,0,"jodie whittaker was born on jodie auckland whittaker     (  1982 - 06 - 17  )   17 june 1982   ( age 36 )    skelmanthorpe ,  west yorkshire ,  england .   the residence of jodie whittaker are london ,  england .   the spouse ( s )  of jodie whittaker are christian contreras   (  m .   2008 )  .   the children of jodie whittaker are 1 . ","[(('age', 19), ('lives', 2), 0, ['RelatedTo'])]"
19,19,T47,GW2," Jodie Whittaker was Born on Jodie Auckland Whittaker    ( 1982-06-17 )  17 June 1982  (age 36)   Skelmanthorpe, West Yorkshire, England.  The Occupation of Jodie Whittaker are Actress.  The Spouse(s) of Jodie Whittaker are Christian Contreras  ( m.  2008).  The Children of Jodie Whittaker are 1.  ",Jodie Whittaker has a daughter.,1,"jodie whittaker was born on jodie auckland whittaker     (  1982 - 06 - 17  )   17 june 1982   ( age 36 )    skelmanthorpe ,  west yorkshire ,  england .   the occupation of jodie whittaker are actress .   the spouse ( s )  of jodie whittaker are christian contreras   (  m .   2008 )  .   the children of jodie whittaker are 1 . ","[(('children', 55), ('daughter', 4), 0, ['RelatedTo']), (('daughter', 4), ('children', 55), 1, ['RelatedTo'])]"
20,20,T47,GW2," Jodie Whittaker was Born on Jodie Auckland Whittaker    ( 1982-06-17 )  17 June 1982  (age 36)   Skelmanthorpe, West Yorkshire, England.  The Years active of Jodie Whittaker are 2005 - present.  The Spouse(s) of Jodie Whittaker are Christian Contreras  ( m.  2008).  The Children of Jodie Whittaker are 1.  ",Jodie Whittaker has been married for less than 14 years.,2,"jodie whittaker was born on jodie auckland whittaker     (  1982 - 06 - 17  )   17 june 1982   ( age 36 )    skelmanthorpe ,  west yorkshire ,  england .   the years active of jodie whittaker are 2005  -  present .   the spouse ( s )  of jodie whittaker are christian contreras   (  m .   2008 )  .   the children of jodie whittaker are 1 . ","[(('17', 13), ('14', 8), 0, ['Co-Hyponym']), (('14', 8), ('17', 13), 1, ['Co-Hyponym']), (('17', 15), ('14', 8), 0, ['Co-Hyponym']), (('14', 8), ('17', 15), 1, ['Co-Hyponym']), (('age', 19), ('years', 9), 0, ['Antonym', 'Synonym', 'RelatedTo', 'Co-Hyponym']), (('years', 9), ('age', 19), 1, ['Synonym', 'Co-Hyponym']), (('active', 31), ('married', 4), 0, ['Co-Hyponym']), (('married', 4), ('active', 31), 1, ['Co-Hyponym']), (('married', 4), ('spouse', 41), 1, ['RelatedTo'])]"
21,21,T47,GW1," Jodie Whittaker was Born on Jodie Auckland Whittaker    ( 1982-06-17 )  17 June 1982  (age 36)   Skelmanthorpe, West Yorkshire, England.  The Years active of Jodie Whittaker are 2005 - present.  The Spouse(s) of Jodie Whittaker are Christian Contreras  ( m.  2008).  The Children of Jodie Whittaker are 1.  ",Jodie Whittaker was born in the winter of 1982.,0,"jodie whittaker was born on jodie auckland whittaker     (  1982 - 06 - 17  )   17 june 1982   ( age 36 )    skelmanthorpe ,  west yorkshire ,  england .   the years active of jodie whittaker are 2005  -  present .   the spouse ( s )  of jodie whittaker are christian contreras   (  m .   2008 )  .   the children of jodie whittaker are 1 . ","[(('winter', 6), ('june', 16), 1, ['RelatedTo']), (('age', 19), ('born', 3), 0, ['RelatedTo'])]"
22,22,T47,GW1," Jodie Whittaker was Born on Jodie Auckland Whittaker    ( 1982-06-17 )  17 June 1982  (age 36)   Skelmanthorpe, West Yorkshire, England.  The Residence of Jodie Whittaker are London, England.  The Years active of Jodie Whittaker are 2005 - present.  The Spouse(s) of Jodie Whittaker are Christian Contreras  ( m.  2008). ",Jodie Whittaker has always lived in England.,1,"jodie whittaker was born on jodie auckland whittaker     (  1982 - 06 - 17  )   17 june 1982   ( age 36 )    skelmanthorpe ,  west yorkshire ,  england .   the residence of jodie whittaker are london ,  england .   the years active of jodie whittaker are 2005  -  present .   the spouse ( s )  of jodie whittaker are christian contreras   (  m .   2008 )  . ","[(('age', 19), ('lived', 4), 0, ['RelatedTo']), (('yorkshire', 25), ('england', 6), 0, ['RelatedTo', 'PartOf']), (('london', 35), ('england', 6), 0, ['RelatedTo', 'PartOf']), (('always', 3), ('present', 48), 1, ['RelatedTo'])]"
23,23,T47,GW1," Jodie Whittaker was Born on Jodie Auckland Whittaker    ( 1982-06-17 )  17 June 1982  (age 36)   Skelmanthorpe, West Yorkshire, England.  The Years active of Jodie Whittaker are 2005 - present.  The Spouse(s) of Jodie Whittaker are Christian Contreras  ( m.  2008).  The Children of Jodie Whittaker are 1.  ",Jodie Whittaker has had an active career in acting for less than 20 years.,2,"jodie whittaker was born on jodie auckland whittaker     (  1982 - 06 - 17  )   17 june 1982   ( age 36 )    skelmanthorpe ,  west yorkshire ,  england .   the years active of jodie whittaker are 2005  -  present .   the spouse ( s )  of jodie whittaker are christian contreras   (  m .   2008 )  .   the children of jodie whittaker are 1 . ","[(('17', 13), ('20', 12), 0, ['Co-Hyponym']), (('20', 12), ('17', 13), 1, ['Co-Hyponym']), (('17', 15), ('20', 12), 0, ['Co-Hyponym']), (('20', 12), ('17', 15), 1, ['Co-Hyponym']), (('age', 19), ('years', 13), 0, ['Antonym', 'Synonym', 'RelatedTo', 'Co-Hyponym']), (('years', 13), ('age', 19), 1, ['Synonym', 'Co-Hyponym'])]"
24,24,T47,GW4," Jodie Whittaker was Born on Jodie Auckland Whittaker    ( 1982-06-17 )  17 June 1982  (age 36)   Skelmanthorpe, West Yorkshire, England.  The Occupation of Jodie Whittaker are Actress.  The Years active of Jodie Whittaker are 2005 - present.  The Spouse(s) of Jodie Whittaker are Christian Contreras  ( m.  2008). ",Jodie Whittaker got married before the 2000s.,0,"jodie whittaker was born on jodie auckland whittaker     (  1982 - 06 - 17  )   17 june 1982   ( age 36 )    skelmanthorpe ,  west yorkshire ,  england .   the occupation of jodie whittaker are actress .   the years active of jodie whittaker are 2005  -  present .   the spouse ( s )  of jodie whittaker are christian contreras   (  m .   2008 )  . ","[(('active', 39), ('married', 3), 0, ['Co-Hyponym']), (('married', 3), ('active', 39), 1, ['Co-Hyponym']), (('married', 3), ('spouse', 49), 1, ['RelatedTo'])]"
25,25,T47,GW4," Jodie Whittaker was Born on Jodie Auckland Whittaker    ( 1982-06-17 )  17 June 1982  (age 36)   Skelmanthorpe, West Yorkshire, England.  The Residence of Jodie Whittaker are London, England.  The Occupation of Jodie Whittaker are Actress.  The Years active of Jodie Whittaker are 2005 - present. ",Jodie Whittaker spent some time in the United States acting.,1,"jodie whittaker was born on jodie auckland whittaker     (  1982 - 06 - 17  )   17 june 1982   ( age 36 )    skelmanthorpe ,  west yorkshire ,  england .   the residence of jodie whittaker are london ,  england .   the occupation of jodie whittaker are actress .   the years active of jodie whittaker are 2005  -  present . ","[(('age', 19), ('time', 4), 0, ['RelatedTo', 'Co-Hyponym']), (('time', 4), ('age', 19), 1, ['RelatedTo', 'CapableOf', 'Co-Hyponym']), (('occupation', 40), ('time', 4), 0, ['Co-Hyponym']), (('time', 4), ('occupation', 40), 1, ['Co-Hyponym']), (('occupation', 40), ('acting', 9), 0, ['Co-Hyponym']), (('acting', 9), ('occupation', 40), 1, ['Co-Hyponym']), (('years', 48), ('time', 4), 0, ['Co-Hyponym']), (('time', 4), ('years', 48), 1, ['RelatedTo', 'Co-Hyponym']), (('present', 56), ('time', 4), 0, ['Hypernym', 'RelatedTo', 'IsA']), (('time', 4), ('present', 56), 1, ['RelatedTo', 'Hyponym'])]"
26,26,T47,GW4, The Occupation of Jodie Whittaker are Actress.  The Years active of Jodie Whittaker are 2005 - present.  The Spouse(s) of Jodie Whittaker are Christian Contreras  ( m.  2008).  The Children of Jodie Whittaker are 1.  ,Jodie Whittaker has had only one husband.,2,the occupation of jodie whittaker are actress .   the years active of jodie whittaker are 2005  -  present .   the spouse ( s )  of jodie whittaker are christian contreras   (  m .   2008 )  .   the children of jodie whittaker are 1 . ,"[(('spouse', 20), ('husband', 6), 0, ['Hyponym']), (('husband', 6), ('spouse', 20), 1, ['Hypernym', 'IsA']), (('children', 37), ('one', 5), 0, ['RelatedTo']), (('1', 42), ('one', 5), 0, ['Synonym', 'RelatedTo', 'HasProperty']), (('one', 5), ('1', 42), 1, ['Synonym', 'RelatedTo', 'HasProperty'])]"
